orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight,productID,unitPrice_x,quantity,discount,Revenue,companyName,contactName,contactTitle,city,country,productName,quantityPerUnit,unitPrice_y,discontinued,categoryID,categoryName,description,YearMonth,Revenue_Total,CustomerSegment
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,11,14.0,12,0,168.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Queso Cabrales,1 kg pkg.,21.0,0,4,Dairy Products,Cheeses,2013-07,1480.0,Low Value
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,42,9.8,10,0,98.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14.0,1,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",2013-07,1480.0,Low Value
10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,72,34.8,5,0,174.0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,Dairy Products,Cheeses,2013-07,1480.0,Low Value
10249,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,14,18.6,9,0,167.4,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Tofu,40 - 100 g pkgs.,23.25,0,7,Produce,Dried fruit and bean curd,2013-07,4954.0,Low Value
10249,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,51,42.4,40,0,1696.0,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,7,Produce,Dried fruit and bean curd,2013-07,4954.0,Low Value
10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,41,7.7,10,0,77.0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,8,Seafood,Seaweed and fish,2013-07,34101.15,High Value
10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,51,42.4,35,0,1484.0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,7,Produce,Dried fruit and bean curd,2013-07,34101.15,High Value
10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,65,16.8,15,0,252.0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",2013-07,34101.15,High Value
10251,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,22,16.8,6,0,100.80000000000001,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Gustaf's Knackebröd,24 - 500 g pkgs.,21.0,0,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",2013-07,9937.1,Medium Value
10251,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,57,15.6,15,0,234.0,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Ravioli Angelo,24 - 250 g pkgs.,19.5,0,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",2013-07,9937.1,Medium Value
10251,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,65,16.8,20,0,336.0,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",2013-07,9937.1,Medium Value
10252,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3,20,64.8,40,0,2592.0,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Sir Rodney's Marmalade,30 gift boxes,81.0,0,3,Confections,"Desserts, candies, and sweet breads",2013-07,24704.4,High Value
10252,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3,33,2.0,25,0,50.0,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Geitost,500 g,2.5,0,4,Dairy Products,Cheeses,2013-07,24704.4,High Value
